1,Programm23,Rechner_335,Benutzer181,08:42:00,10:15:00
2,Programm1,Rechner_335,Benutzer181,10:02:00,10:51:00
3,Programm12,Rechner_335,Benutzer181,11:07:00,12:13:00
4,Programm5,Rechner_335,Benutzer181,12:14:00,13:17:00
5,Programm14,Rechner_335,Benutzer181,13:27:00,14:53:00
6,Programm17,Rechner_335,Benutzer181,14:10:00,15:13:00
7,Programm1,Rechner_335,Benutzer181,14:54:00,16:05:00
8,Programm19,Rechner_257,Benutzer241,08:13:00,09:24:00
9,Programm12,Rechner_257,Benutzer241,09:04:00,10:03:00
10,Programm20,Rechner_257,Benutzer241,09:19:00,10:05:00
11,Programm1,Rechner_257,Benutzer241,09:54:00,11:53:00
12,Programm22,Rechner_257,Benutzer241,10:22:00,10:58:00
13,Programm25,Rechner_257,Benutzer241,11:13:00,11:57:00
14,Programm4,Rechner_257,Benutzer241,11:20:00,11:43:00
15,Programm4,Rechner_257,Benutzer241,12:27:00,13:44:00
16,Programm2,Rechner_257,Benutzer241,13:15:00,14:23:00
17,Programm6,Rechner_257,Benutzer241,13:33:00,15:16:00
18,Programm24,Rechner_257,Benutzer241,14:59:00,15:47:00
19,Programm14,Rechner_257,Benutzer241,15:41:00,16:45:00
20,Programm10,Rechner_257,Benutzer241,15:46:00,16:38:00
21,Programm14,Rechner_44,Benutzer396,08:41:00,10:20:00
22,Programm14,Rechner_44,Benutzer396,09:15:00,09:40:00
23,Programm23,Rechner_44,Benutzer396,09:30:00,09:57:00
24,Programm19,Rechner_44,Benutzer396,10:44:00,11:03:00
25,Programm5,Rechner_44,Benutzer396,11:05:00,11:25:00
26,Programm12,Rechner_44,Benutzer396,12:27:00,14:15:00
27,Programm3,Rechner_44,Benutzer396,13:21:00,13:45:00
28,Programm1,Rechner_44,Benutzer396,14:09:00,14:59:00
29,Programm11,Rechner_44,Benutzer396,15:13:00,15:29:00
30,Programm13,Rechner_17,Benutzer137,08:04:00,08:45:00
31,Programm6,Rechner_17,Benutzer137,09:05:00,10:24:00
32,Programm7,Rechner_17,Benutzer137,09:45:00,10:25:00
33,Programm21,Rechner_17,Benutzer137,10:40:00,12:32:00
34,Programm19,Rechner_17,Benutzer137,11:04:00,11:23:00
35,Programm12,Rechner_17,Benutzer137,11:48:00,12:57:00
36,Programm21,Rechner_17,Benutzer137,12:51:00,13:09:00
37,Programm16,Rechner_17,Benutzer137,13:57:00,15:56:00
38,Programm21,Rechner_9,Benutzer69,08:52:00,09:21:00
39,Programm25,Rechner_9,Benutzer69,09:12:00,10:31:00
40,Programm9,Rechner_9,Benutzer69,10:35:00,12:20:00
41,Programm15,Rechner_9,Benutzer69,11:32:00,12:35:00
42,Programm23,Rechner_9,Benutzer69,11:59:00,13:45:00
43,Programm25,Rechner_9,Benutzer69,13:08:00,13:53:00
44,Programm3,Rechner_9,Benutzer69,14:00:00,14:35:00
45,Programm12,Rechner_9,Benutzer69,15:09:00,16:09:00
46,Programm15,Rechner_9,Benutzer69,15:24:00,15:59:00
47,Programm18,Rechner_81,Benutzer178,08:45:00,10:09:00
48,Programm2,Rechner_81,Benutzer178,09:35:00,10:19:00
