1,Rechner_73,Benutzer94,07:21:00,17:58:00
2,Rechner_153,Benutzer367,08:17:00,16:22:00
3,Rechner_326,Benutzer176,08:07:00,17:55:00
4,Rechner_335,Benutzer64,08:40:00,17:03:00
5,Rechner_313,Benutzer11,07:19:00,16:26:00
6,Rechner_69,Benutzer55,08:38:00,17:29:00
7,Rechner_312,Benutzer28,08:03:00,17:00:00
8,Rechner_106,Benutzer261,07:03:00,17:25:00
9,Rechner_164,Benutzer144,07:36:00,17:01:00
10,Rechner_103,Benutzer319,07:08:00,16:12:00
11,Rechner_18,Benutzer313,07:44:00,16:59:00
12,Rechner_7,Benutzer12,08:29:00,16:34:00
13,Rechner_168,Benutzer254,08:53:00,16:53:00
14,Rechner_223,Benutzer311,07:20:00,16:52:00
15,Rechner_339,Benutzer149,07:42:00,17:39:00
16,Rechner_154,Benutzer230,07:06:00,16:11:00
17,Rechner_4,Benutzer93,08:35:00,16:56:00
18,Rechner_41,Benutzer84,08:55:00,16:33:00
19,Rechner_76,Benutzer351,07:58:00,17:58:00
20,Rechner_182,Benutzer30,08:02:00,17:13:00
21,Rechner_311,Benutzer208,08:22:00,17:58:00
22,Rechner_167,Benutzer341,07:21:00,17:14:00
23,Rechner_152,Benutzer62,08:47:00,16:06:00
24,Rechner_254,Benutzer2,08:43:00,16:08:00
25,Rechner_209,Benutzer264,07:48:00,16:11:00
26,Rechner_165,Benutzer177,07:29:00,16:38:00
27,Rechner_54,Benutzer192,08:46:00,17:24:00
28,Rechner_348,Benutzer395,08:36:00,17:43:00
29,Rechner_189,Benutzer139,07:44:00,16:18:00
30,Rechner_328,Benutzer350,07:40:00,17:25:00
31,Rechner_245,Benutzer288,08:39:00,17:16:00
32,Rechner_171,Benutzer369,08:08:00,16:25:00
33,Rechner_82,Benutzer250,08:25:00,17:41:00
34,Rechner_342,Benutzer201,08:55:00,17:29:00
35,Rechner_102,Benutzer36,07:10:00,16:35:00
36,Rechner_155,Benutzer200,08:59:00,17:08:00
37,Rechner_59,Benutzer204,08:59:00,16:08:00
38,Rechner_158,Benutzer298,07:40:00,17:05:00
39,Rechner_70,Benutzer379,08:35:00,17:44:00
40,Rechner_101,Benutzer3,08:29:00,17:34:00
41,Rechner_273,Benutzer382,08:18:00,16:45:00
42,Rechner_89,Benutzer118,07:04:00,16:18:00
43,Rechner_334,Benutzer385,07:34:00,16:52:00
44,Rechner_185,Benutzer151,07:33:00,16:45:00
45,Rechner_1,Benutzer329,07:53:00,16:25:00
46,Rechner_49,Benutzer155,07:05:00,16:54:00
47,Rechner_64,Benutzer24,08:37:00,17:38:00
48,Rechner_256,Benutzer165,07:31:00,17:57:00
49,Rechner_120,Benutzer35,08:11:00,17:56:00
50,Rechner_85,Benutzer255,07:03:00,16:09:00
51,Rechner_193,Benutzer199,08:51:00,17:21:00
52,Rechner_237,Benutzer218,08:14:00,17:13:00
53,Rechner_272,Benutzer170,08:22:00,17:08:00
54,Rechner_197,Benutzer217,07:03:00,16:30:00
